gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	anum	num	min	lower_hinge	median	upper_hinge	max	mean	clusterID
CD163	1.19744330869444e-63	-0.328300308579428	0.019	0.157	2.39069556580844e-59	1613	31	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	0.7716242982583	0
CD248	6.07524129754459e-216	0.365391150631121	0.338	0.041	1.21292192505478e-211	1613	618	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	2.39789527279837	0.916859175678734	0
CD302	3.00662820424127e-105	0.310327544211283	0.53	0.247	6.00273320976769e-101	1613	749	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	1.94591014905531	0.871452453592474	0
CD34	2.21817807670577e-171	0.424322505841317	0.502	0.152	4.42859253014308e-167	1613	898	0.693147180559945	0.693147180559945	1.09861228866811	1.38629436111989	2.63905732961526	1.0174970819227	0
CD36	1.55313319968207e-53	-0.325409946271858	0.01	0.121	3.10083043316524e-49	1613	25	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	2.07944154167984	0.833906397252687	0
CD37	1.06153851626721e-137	-0.461007855724646	0.013	0.261	2.11936164772749e-133	1613	21	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	0.71245504285081	0
CD52	8.63056452617393e-72	-0.548443525903665	0.03	0.185	1.72309220765062e-67	1613	43	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	2.30258509299405	0.824581284595229	0
CD53	2.92095210603623e-133	-0.40614059386448	0.014	0.257	5.83168087970134e-129	1613	21	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.38629436111989	0.745462051448903	0
CD63	6.31884016666492e-204	0.493362387059498	0.999	0.932	1.26155643927465e-199	1613	1610	0.693147180559945	2.07944154167984	2.484906649788	2.77258872223978	3.66356164612965	2.38808955226754	0
CD68	9.63409535393258e-71	-0.331259861297241	0.308	0.249	1.92344713741264e-66	1613	488	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.79175946922805	0.805721477691717	0
CD69	1.13743446258714e-50	-0.30430175279433	0.015	0.129	2.27088790455522e-46	1613	25	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	2.39789527279837	0.827666227313624	0
CD74	2.35958838656206e-166	-2.21056509660055	0.657	0.79	4.71091821377115e-162	1613	1005	0.693147180559945	0.693147180559945	1.09861228866811	1.38629436111989	4.26267987704132	1.13467745648059	0
CD83	2.20366183954833e-37	-0.254448462765559	0.044	0.145	4.39961086265823e-33	1613	74	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	2.19722457733622	0.752318812961355	0
CD9	7.90320728821664e-74	-0.430810697939771	0.637	0.618	1.57787533509245e-69	1613	984	0.693147180559945	0.693147180559945	1.09861228866811	1.38629436111989	2.77258872223978	1.08124732494451	0
CD93	2.51048445908676e-103	-0.286337100392337	0.015	0.217	5.01218222256671e-99	1613	28	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	2.07944154167984	0.742657693457084	0
CDC42	1.92905700494384e-55	-0.305108814110315	0.559	0.676	3.85136231037037e-51	1613	932	0.693147180559945	0.693147180559945	0.895879734614027	1.09861228866811	1.94591014905531	0.972819131283211	0
CDC42EP4	2.20363635953508e-144	0.377211826301444	0.47	0.167	4.39955999181179e-140	1613	774	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	2.19722457733622	0.92346213967375	0
CDH19	1.10693634529294e-97	0.319539085794848	0.32	0.096	2.20999841337735e-93	1613	638	0.693147180559945	0.693147180559945	1.09861228866811	1.38629436111989	2.63905732961526	1.12940535076284	0
CDO1	7.79855627235588e-163	0.286252227611997	0.333	0.06	1.55698175977585e-158	1613	510	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	1.94591014905531	0.835096792044853	0
CEBPB	1.45633078061505e-118	0.528260909168261	0.757	0.487	2.90756440349796e-114	1613	1195	0.693147180559945	0.693147180559945	1.09861228866811	1.79175946922805	2.99573227355399	1.32969695029805	0
CEBPD	0	1.113271406905	0.967	0.623	0	1613	1562	0.693147180559945	1.79175946922805	2.30258509299405	2.70805020110221	3.80666248977032	2.25394274685774	0
CERCAM	1.12626067710191e-125	0.282631555540747	0.403	0.122	2.24857944183395e-121	1613	642	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	1.79175946922805	0.834278117322546	0
CES1	0	0.856256083818245	0.639	0.113	0	1613	1052	0.693147180559945	0.693147180559945	1.09861228866811	1.6094379124341	2.94443897916644	1.27268204628753	0
CFD	0	2.55592292831449	0.944	0.563	0	1613	1585	0.693147180559945	3.87120101090789	4.53259949315326	5.03043792139244	6.0330862217988	4.25251887856965	0
CFH	0	1.2555101577849	0.962	0.332	0	1613	1505	0.693147180559945	1.38629436111989	1.79175946922805	2.39789527279837	3.87120101090789	1.87847153220304	0
CFI	7.52879584815341e-143	0.330076911956916	0.418	0.12	1.50312409108383e-138	1613	691	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	1.94591014905531	0.877094149594856	0
CFL1	2.06383212521435e-117	-0.417365366687088	0.914	0.931	4.12044083799045e-113	1613	1486	0.693147180559945	1.09861228866811	1.38629436111989	1.6094379124341	2.63905732961526	1.34277945749172	0
CHCHD10	1.43522834660975e-119	-0.372017811893236	0.094	0.38	2.86543339400636e-115	1613	137	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.6094379124341	0.755588499913317	0
CHI3L2	6.99865756577671e-146	0.508677495719975	0.232	0.028	1.39728198300732e-141	1613	453	0.693147180559945	0.693147180559945	1.09861228866811	1.38629436111989	3.43398720448515	1.1912771687232	0
CHPF	1.75139208489242e-108	0.311847855362671	0.457	0.175	3.49665429748772e-104	1613	745	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	1.79175946922805	0.907644805422156	0
CHRDL1	1.65356936742575e-305	0.414308275153548	0.415	0.041	3.3013512420655e-301	1613	611	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	1.94591014905531	0.839079249458057	0
CITED2	2.98467913376332e-50	-0.329775145060161	0.146	0.316	5.95891189055847e-46	1613	232	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	2.484906649788	0.80379567412917	0
CKB	3.400673519879e-151	0.405243004357077	0.486	0.154	6.78944468243842e-147	1613	720	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	2.70805020110221	1.00723511385683	0
CKLF	1.57669355985714e-36	-0.27219826163493	0.193	0.298	3.14786869225477e-32	1613	339	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.6094379124341	0.749826639550743	0
CLDN11	4.33652106677332e-124	0.253769873239858	0.221	0.031	8.65786430981294e-120	1613	315	0.693147180559945	0.693147180559945	0.693147180559945	1.09861228866811	2.484906649788	0.854878115558471	0
CLDN5	1.18664120000285e-54	-0.719268450052651	0.029	0.149	2.36912915580569e-50	1613	54	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	2.56494935746154	0.798303933646462	0
CLEC11A	5.11497879336158e-112	0.275306663439317	0.343	0.097	1.02120551609464e-107	1613	488	0.693147180559945	0.693147180559945	0.693147180559945	0.693147180559945	1.94591014905531	0.809309932757829	0
